Tb	-0.08541781	-0.91493343	-0.0995639	0.35562172	-0.089545366				altitude	-0.93214418	2.51E-04	**		
Tc	-0.8322293	0.17158491	0.40152926	0.18574751	-0.201160363				mean.max.hot	-0.93623546	2.02E-04	**		
To	0.17065916	0.73016932	0.0906079	0.57295851	-0.136513089									
initial.embryo	-0.31844835	0.42355754	-0.79944665	0.21969962	0.114846067					Dim 2				
seed.dry.mass	0.92847139	0.28107688	0.04254449	-0.19501278	0.005403644									
latitude	0.94909087	-0.03338256	-0.04230518	0.08106252	-0.298453977					correlation	p.value			
altitude	-0.93214418	0.06357696	0.01291024	-0.22144018	0.041654685				lnX.50b	0.86297442	0.002735408	**		
mean.max.hot	-0.93623546	0.08989788	0.15126254	0.11454873	0.271821925				To	0.73016932	0.025502201	*		
mean.min.cold	0.75612867	-0.22215246	0.27507654	0.34188728	0.417442343				initial.embryo	0.42355754	0.255946933	NS		
mean.pre.dry	0.87064622	-0.2496325	-0.07163852	-0.0560767	0.112110987				seed.dry.mass	0.28107688	0.463765852	NS		
lnX.50b	0.43381895	0.86297442	0.14820598	-0.10969088	0.099397715				Tc	0.17158491	0.658912892	NS		
									mean.max.hot	0.08989788	0.818090445	NS		
$cor									altitude	0.06357696	0.870917554	NS		
	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5				latitude	-0.03338256	0.932056731	NS		
Tb	-0.08541781	-0.91493343	-0.0995639	0.35562172	-0.089545366				mean.min.cold	-0.22215246	0.565636205	NS		
Tc	-0.8322293	0.17158491	0.40152926	0.18574751	-0.201160363				mean.pre.dry	-0.2496325	0.517126828	NS		
To	0.17065916	0.73016932	0.0906079	0.57295851	-0.136513089				Tb	-0.91493343	0.000543523	**		
initial.embryo	-0.31844835	0.42355754	-0.79944665	0.21969962	0.114846067									
seed.dry.mass	0.92847139	0.28107688	0.04254449	-0.19501278	0.005403644									
latitude	0.94909087	-0.03338256	-0.04230518	0.08106252	-0.298453977									
altitude	-0.93214418	0.06357696	0.01291024	-0.22144018	0.041654685									
mean.max.hot	-0.93623546	0.08989788	0.15126254	0.11454873	0.271821925									
mean.min.cold	0.75612867	-0.22215246	0.27507654	0.34188728	0.417442343									
mean.pre.dry	0.87064622	-0.2496325	-0.07163852	-0.0560767	0.112110987									
lnX.50b	0.43381895	0.86297442	0.14820598	-0.10969088	0.099397715									
														
$cos2														
	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5									
Tb	0.007296203	0.837103186	0.00991297	0.126466806	8.02E-03									
Tc	0.692605615	0.029441382	0.161225746	0.034502138	4.05E-02									
To	0.029124548	0.53314723	0.008209792	0.328281451	1.86E-02									
initial.embryo	0.101409354	0.17940099	0.639114945	0.048267921	1.32E-02									
seed.dry.mass	0.862059115	0.07900421	0.001810034	0.038029986	2.92E-05									
latitude	0.900773473	0.001114395	0.001789728	0.006571133	8.91E-02									
altitude	0.86889278	0.00404203	0.000166674	0.049035751	1.74E-03									
mean.max.hot	0.876536836	0.008081629	0.022880355	0.013121413	7.39E-02									
mean.min.cold	0.57173057	0.049351717	0.0756671	0.11688691	1.74E-01									
mean.pre.dry	0.758024839	0.062316383	0.005132077	0.003144597	1.26E-02									
lnX.50b	0.188198879	0.744724854	0.021965013	0.01203209	9.88E-03									
														
$contrib														
	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5									
Tb	0.1245798	33.11682208	1.0458104	16.2901273	1.815169163									
Tc	11.8259646	1.16473696	17.0091882	4.4442035	9.160426471									
To	0.49729	21.09195407	0.8661265	42.2857728	4.218707956									
initial.embryo	1.7315243	7.09732176	67.4261191	6.2173673	2.985816553									
seed.dry.mass	14.7193155	3.12550283	0.1909571	4.8986238	0.006610043									
latitude	15.3803477	0.04408684	0.1888149	0.8464244	20.16441433									
altitude	14.8359976	0.15990762	0.017584	6.3162711	0.392788337									
mean.max.hot	14.9665168	0.31971908	2.4138593	1.6901627	16.72629835									
mean.min.cold	9.7620714	1.95241405	7.982819	15.0561456	39.44789823									
mean.pre.dry	12.9429717	2.46531204	0.5414301	0.4050539	2.845294493									
lnX.50b	3.2134208	29.46222268	2.3172915	1.5498476	2.236576074									
